rank,soc,title,readiness,employment,wage,wage_gain,wage_gain_pct
1,33-2011,Firefighters,78.22291285579333,345990,59280.0,3910.0,6.595816464237517
2,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",77.03657268286459,409670,61010.0,2180.0,3.573184723815768
3,47-2031,Carpenters,76.72453670171397,670090,60580.0,2610.0,4.308352591614394
4,49-9071,"Maintenance and Repair Workers, General",76.13980769039217,1529700,49590.0,13600.0,27.424884049203467
5,27-4011,Audio and Video Technicians,72.84327615841616,70230,58100.0,5090.0,8.760757314974182
6,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",72.30264596293759,130760,58430.0,4760.0,8.14650008557248
7,51-8031,Water and Wastewater Treatment Plant and System Operators,71.29091161817267,128490,60020.0,3170.0,5.281572809063645
8,47-2211,Sheet Metal Workers,71.28436061087196,119770,61800.0,1390.0,2.249190938511327
9,49-9062,Medical Equipment Repairers,70.23334606634599,65990,61660.0,1530.0,2.4813493350632503
10,47-4041,Hazardous Materials Removal Workers,70.12186607804361,51710,49450.0,13740.0,27.785642062689586
11,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",69.74670718667628,124590,47180.0,16010.0,33.93387028401865
12,49-3023,Automotive Service Technicians and Mechanics,68.06226606303353,704640,50620.0,12570.0,24.832082180956142
13,47-3013,Helpers--Electricians,67.88586164618728,63630,42670.0,20520.0,48.089992969299274
14,35-1011,Chefs and Head Cooks,67.8222306009133,200040,62470.0,720.0,1.1525532255482631
15,49-2098,Security and Fire Alarm Systems Installers,67.62685695558557,86340,60070.0,3120.0,5.193940402863326
16,49-3021,Automotive Body and Related Repairers,66.75194492039647,149310,54890.0,8300.0,15.121151393696485
17,29-2056,Veterinary Technologists and Technicians,66.72542872510701,129140,47380.0,15810.0,33.36850991979738
18,51-9011,Chemical Equipment Operators and Tenders,66.56196151828526,139630,58040.0,5150.0,8.873190902825637
19,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,65.73084587873636,289960,61770.0,1420.0,2.2988505747126435
20,51-5112,Printing Press Operators,65.44314792626,144260,45780.0,17410.0,38.02970729576234
21,51-4041,Machinists,65.23295217303041,287050,58750.0,4440.0,7.5574468085106385
22,27-4021,Photographers,65.212928754329,51760,44660.0,18530.0,41.49126735333632
23,51-9161,Computer Numerically Controlled Tool Operators,65.12503479183309,169450,50690.0,12500.0,24.659696192542906
24,49-9043,"Maintenance Workers, Machinery",64.70350176336274,60020,60850.0,2340.0,3.845521774856204
25,41-2022,Parts Salespersons,63.975707540898455,270070,38630.0,24560.0,63.57753041677453
26,19-4031,Chemical Technicians,63.95783939854891,57540,60390.0,2800.0,4.6365292266931615
27,47-2073,Operating Engineers and Other Construction Equipment Operators,63.71167543482339,478090,59850.0,3340.0,5.58061821219716
28,31-9093,Medical Equipment Preparers,63.552583925820294,77420,47700.0,15490.0,32.473794549266245
29,33-3012,Correctional Officers and Jailers,63.52209673596316,380500,58940.0,4250.0,7.2107227689175435
30,47-2221,Structural Iron and Steel Workers,62.817227044038205,68380,62780.0,410.0,0.6530742274609749
31,15-1232,Computer User Support Specialists,62.44154457366101,717190,61860.0,1330.0,2.1500161655350793
32,47-2021,Brickmasons and Blockmasons,62.268997798786884,52550,62120.0,1070.0,1.7224726336123632
33,47-2121,Glaziers,62.10376613302615,58480,57080.0,6110.0,10.70427470217239
34,47-2181,Roofers,61.80942913306,135490,55440.0,7750.0,13.979076479076479
35,47-4051,Highway Maintenance Workers,60.94856509629428,154960,50260.0,12930.0,25.72622363708715
