soc,readiness,distance,title,employment,wage,wage_gain,wage_gain_pct
11-1011,48.14643494387938,1.345671604420611,Chief Executives,204350,213990.0,-150800.0,-70.4705827375111
11-1021,50.82223952297932,1.2762307812645488,General and Operations Managers,3503020,105770.0,-42580.0,-40.257161766096246
11-2011,43.92555904871818,1.455209161418949,Advertising and Promotions Managers,21470,133660.0,-70470.0,-52.7233278467754
11-2021,42.44814154822494,1.49355018534153,Marketing Managers,395240,166790.0,-103600.0,-62.1140356136459
11-2022,39.57433776820552,1.5681293611274827,Sales Managers,637080,148270.0,-85080.0,-57.381803466648684
11-2033,37.75788889450935,1.6152687172656621,Fundraising Managers,38810,125470.0,-62280.0,-49.6373635131904
11-3012,56.55234239705654,1.1275267004610536,Administrative Services Managers,263960,114130.0,-50940.0,-44.633312888811005
11-3013,69.17924984855415,0.7998410188548336,Facilities Managers,156180,106660.0,-43470.0,-40.755672229514346
11-3021,56.2641119742594,1.1350066778756918,Computer and Information Systems Managers,670570,175140.0,-111950.0,-63.92029233755852
11-3031,39.47878655132543,1.5706090471275524,Financial Managers,841710,166570.0,-103380.0,-62.06399711832863
11-3051,70.58823618959764,0.7632758779989125,Industrial Production Managers,246250,126060.0,-62870.0,-49.873076312866885
11-3061,45.17474264485569,1.4227911224237333,Purchasing Managers,84320,148080.0,-84890.0,-57.327120475418695
11-3071,52.360476127352754,1.2363114176268621,"Transportation, Storage, and Distribution Managers",221180,107230.0,-44040.0,-41.0705959153222
11-3111,31.86098837580178,1.768301427235163,Compensation and Benefits Managers,22940,149230.0,-86040.0,-57.65596729880051
11-3121,40.09667547268426,1.5545739765348408,Human Resources Managers,220660,149280.0,-86090.0,-57.67015005359057
11-3131,43.331049726715506,1.4706374991295095,Training and Development Managers,48050,133000.0,-69810.0,-52.48872180451128
11-9013,74.96972271872468,0.6495702533033597,"Farmers, Ranchers, and Other Agricultural Managers",6500,89900.0,-26710.0,-29.710789766407117
11-9021,69.73805805640546,0.7853391743469619,Construction Managers,380360,114990.0,-51800.0,-45.04739542568919
11-9031,52.00172160472676,1.2456215928005996,"Education and Childcare Administrators, Preschool and Daycare",73660,59300.0,3890.0,6.559865092748735
11-9032,48.63770409779582,1.3329224916096092,"Education Administrators, Kindergarten through Secondary",328330,105870.0,-42680.0,-40.31359214130538
11-9033,39.3020838568946,1.5751947260112094,"Education Administrators, Postsecondary",180470,104590.0,-41400.0,-39.583134142843484
11-9041,65.34275340037381,0.899403398513577,Architectural and Engineering Managers,220260,171270.0,-108080.0,-63.10503882758218
11-9051,57.805718491043436,1.0949998603583073,Food Service Managers,238430,69390.0,-6200.0,-8.93500504395446
11-9071,52.66704088165889,1.2283556389964159,Gambling Managers,5030,93220.0,-30030.0,-32.214117142244156
11-9072,54.5711644668204,1.178941003048314,"Entertainment and Recreation Managers, Except Gambling",37980,79520.0,-16330.0,-20.535714285714285
11-9081,57.0295455731418,1.1151426191948521,Lodging Managers,42620,69250.0,-6060.0,-8.750902527075812
11-9111,47.74649365770015,1.356050632972734,Medical and Health Services Managers,597080,123860.0,-60670.0,-48.982722428548364
11-9121,53.62610543572857,1.2034665896934202,Natural Sciences Managers,108690,167220.0,-104030.0,-62.21145795957421
11-9131,50.74989347039217,1.2781082612131902,Postmasters and Mail Superintendents,13810,96660.0,-33470.0,-34.62652596730809
11-9141,45.13306099833502,1.4238728186983804,"Property, Real Estate, and Community Association Managers",311180,69990.0,-6800.0,-9.71567366766681
11-9151,48.06426103280915,1.3478041308656434,Social and Community Service Managers,209330,80390.0,-17200.0,-21.395695982087325
11-9161,56.713813695803,1.1233362973245122,Emergency Management Directors,13500,93330.0,-30140.0,-32.294010500375016
11-9171,54.75485245367001,1.174174046182201,Funeral Home Managers,13910,78790.0,-15600.0,-19.79946693742861
11-9179,56.06402714149659,1.1401991555314281,"Personal Service Managers, All Other",10450,69770.0,-6580.0,-9.430987530457216
11-9199,56.80793153039032,1.1208938095739278,"Managers, All Other",622190,141900.0,-78710.0,-55.468639887244535
13-1011,31.660459228964033,1.7735054354545825,"Agents and Business Managers of Artists, Performers, and Athletes",12620,82890.0,-19700.0,-23.766437447219207
13-1031,43.97475401486033,1.4539324841269197,"Claims Adjusters, Examiners, and Investigators",324230,78000.0,-14810.0,-18.987179487179485
13-1032,50.39620611743471,1.2872869363380817,"Insurance Appraisers, Auto Damage",11560,78240.0,-15050.0,-19.235685071574643
13-1041,52.87081944111025,1.2230673040333975,Compliance Officers,417070,80730.0,-17540.0,-21.726743465873902
13-1051,42.65247815531068,1.4882473682719353,Cost Estimators,224220,78740.0,-15550.0,-19.748539497078994
13-1071,34.26792578853769,1.7058380782555733,Human Resources Specialists,912430,75940.0,-12750.0,-16.78957071372136
13-1074,38.42277088915704,1.5980141115404898,Farm Labor Contractors,310,58460.0,4730.0,8.091002394799863
13-1075,36.257406696484814,1.6542083019332723,Labor Relations Specialists,64810,95420.0,-32230.0,-33.77698595682247
13-1081,50.4675842128236,1.2854345762151373,Logisticians,251040,82320.0,-19130.0,-23.238581146744412
13-1111,43.2567265257685,1.4725662888078237,Management Analysts,898280,101860.0,-38670.0,-37.9638719811506
13-1121,59.90526609410796,1.0405137013349985,"Meeting, Convention, and Event Planners",142860,61160.0,2030.0,3.3191628515369525
13-1131,39.68471193742469,1.565264999049022,Fundraisers,111040,72550.0,-9360.0,-12.90144727773949
13-1141,38.55371263825188,1.5946159923677892,"Compensation, Benefits, and Job Analysis Specialists",112380,78210.0,-15020.0,-19.204705280654647
13-1151,43.94908250046874,1.4545986953685546,Training and Development Specialists,458300,69280.0,-6090.0,-8.790415704387991
13-1161,40.66127089387662,1.5399219458506983,Market Research Analysts and Marketing Specialists,899580,78760.0,-15570.0,-19.768918232605383
13-1199,51.03580011804133,1.270688588971944,"Business Operations Specialists, All Other",1087090,83050.0,-19860.0,-23.913305237808547
13-2011,39.93401436886438,1.5587952567557326,Accountants and Auditors,1449500,83680.0,-20490.0,-24.486137667304014
13-2031,36.61998520985209,1.644798888920236,Budget Analysts,47160,91640.0,-28450.0,-31.045395024006982
13-2041,34.94847547889518,1.6881768741952516,Credit Analysts,64390,83510.0,-20320.0,-24.332415279607233
13-2052,34.070692664449886,1.7109565501340038,Personal Financial Advisors,266800,105070.0,-41880.0,-39.85914152469782
13-2053,35.5294325662431,1.6731002356847675,Insurance Underwriters,105420,81370.0,-18180.0,-22.34238662897874
13-2061,39.07897223787792,1.5809847805619834,Financial Examiners,67830,94160.0,-30970.0,-32.89082412914188
13-2071,30.49251759143077,1.8038151334579506,Credit Counselors,27770,52230.0,10960.0,20.984108749760672
13-2072,33.38029179688253,1.7288734058438713,Loan Officers,274330,76690.0,-13500.0,-17.603338114486895
13-2081,39.46078758356389,1.5710761451910966,"Tax Examiners and Collectors, and Revenue Agents",56610,62370.0,820.0,1.3147346480679813
13-2082,34.657442602921485,1.6957295791390063,Tax Preparers,76480,54920.0,8270.0,15.058266569555718
13-2099,42.40729934127435,1.4946100970003677,"Financial Specialists, All Other",132130,81100.0,-17910.0,-22.083847102342787
15-1211,58.29661389304515,1.0822604469255108,Computer Systems Analysts,519530,105850.0,-42660.0,-40.30231459612659
15-1212,54.289166227109234,1.186259246707457,Information Security Analysts,190650,129180.0,-65990.0,-51.08375909583527
15-1221,54.53637179685342,1.1798439208701814,Computer and Information Research Scientists,37200,140300.0,-77110.0,-54.9607982893799
15-1231,63.54484532817495,0.9460615952546902,Computer Network Support Specialists,146190,76220.0,-13030.0,-17.095250590396223
15-1232,62.44154457366101,0.9746937730977834,Computer User Support Specialists,717190,61860.0,1330.0,2.1500161655350793
15-1241,70.46478232602823,0.7664796762041387,Computer Network Architects,179740,134050.0,-70860.0,-52.86087280865349
15-1242,49.55882109796007,1.3090182337224494,Database Administrators,69990,104620.0,-41430.0,-39.60045880328809
15-1243,45.26253546800048,1.4205127774526596,Database Architects,67140,139500.0,-76310.0,-54.702508960573475
15-1244,68.23099359523188,0.8244495778310392,Network and Computer Systems Administrators,314340,99130.0,-35940.0,-36.25542217290427
15-1251,45.98621795662814,1.4017322177262703,Computer Programmers,92230,100390.0,-37200.0,-37.055483613905764
15-1252,43.47937780204809,1.4667881807866456,Software Developers,1687890,135980.0,-72790.0,-53.52993087218709
15-1253,50.63137798454351,1.2811839016984305,Software Quality Assurance Analysts and Testers,186740,104300.0,-41110.0,-39.41514860977948
15-1254,49.71107257532024,1.3050670976801555,Web Developers,70190,92650.0,-29460.0,-31.797085806799785
15-1255,46.651084603011384,1.3844780103097507,Web and Digital Interface Designers,113330,104000.0,-40810.0,-39.24038461538461
15-1299,53.91616218719244,1.1959392165283738,"Computer Occupations, All Other",435370,116580.0,-53390.0,-45.7968776805627
15-2011,38.653721111493425,1.592020634411264,Actuaries,26670,130000.0,-66810.0,-51.39230769230769
15-2021,35.46874848996529,1.674675071247166,Mathematicians,2030,126710.0,-63520.0,-50.13021860942309
15-2031,41.06374371263978,1.529477220532882,Operations Research Analysts,108510,88940.0,-25750.0,-28.952102541038904
15-2041,39.19655962075063,1.577933225630347,Statisticians,29030,105650.0,-42460.0,-40.18930430667298
15-2051,38.734526645935766,1.5899236192289634,Data Scientists,262440,120230.0,-57040.0,-47.442402062713136
15-2099,44.45803789480426,1.4413906002003098,"Mathematical Science Occupations, All Other",3720,81490.0,-18300.0,-22.456743158669774
17-1011,58.42149520971673,1.0790196043414813,"Architects, Except Landscape and Naval",106770,99280.0,-36090.0,-36.351732473811445
17-1012,55.5667888422508,1.1531031759049795,Landscape Architects,19600,79870.0,-16680.0,-20.883936396644547
17-1021,54.70378603341188,1.1754992902923487,Cartographers and Photogrammetrists,14260,81390.0,-18200.0,-22.36146946799361
17-1022,71.4655657477689,0.7405079646862561,Surveyors,50830,75440.0,-12250.0,-16.238069989395544
17-2011,54.682022952884935,1.1760640722790476,Aerospace Engineers,67710,134960.0,-71770.0,-53.178719620628335
17-2021,66.77520991494403,0.8622291742507274,Agricultural Engineers,1480,98590.0,-35400.0,-35.906278527234
17-2031,69.70838200230835,0.7861093089227912,Bioengineers and Biomedical Engineers,23480,109370.0,-46180.0,-42.22364450946329
17-2041,59.172650092645476,1.0595260980534353,Chemical Engineers,21070,125040.0,-61850.0,-49.46417146513116
17-2051,54.716615882312134,1.1751663379999577,Civil Engineers,367840,100840.0,-37650.0,-37.33637445458152
17-2061,61.13973467087662,1.0084775374085795,Computer Hardware Engineers,76660,161740.0,-98550.0,-60.93112402621491
17-2071,64.0663978460181,0.9325265873393036,Electrical Engineers,198750,120630.0,-57440.0,-47.6166791013844
17-2072,69.06192815436442,0.8028856787983257,"Electronics Engineers, Except Computer",96900,130220.0,-67030.0,-51.474427891260945
17-2081,53.46020803839833,1.207771856199069,Environmental Engineers,38340,107110.0,-43920.0,-41.00457473625245
17-2111,59.20029514554452,1.0588086707627815,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450,115160.0,-51970.0,-45.12851684612713
17-2112,64.68480926309618,0.9164779572612979,Industrial Engineers,365740,102440.0,-39250.0,-38.315111284654435
17-2121,77.2502559479812,0.5903872674039957,Marine Engineers and Naval Architects,8250,112230.0,-49040.0,-43.695981466631025
17-2131,64.00100553120292,0.9342236081921399,Materials Engineers,22770,112860.0,-49670.0,-44.01027822080454
17-2141,67.33315436366321,0.8477497454848768,Mechanical Engineers,296810,104110.0,-40920.0,-39.304581692440685
17-2151,56.86428188785791,1.1194314399979683,"Mining and Geological Engineers, Including Mining Safety Engineers",6080,106220.0,-43030.0,-40.51026172095651
17-2161,58.73286805223816,1.0709390491835993,Nuclear Engineers,15280,133970.0,-70780.0,-52.83272374412182
17-2171,52.80433715402213,1.2247926111715777,Petroleum Engineers,18060,144910.0,-81720.0,-56.393623628459046
17-2199,68.93473962068522,0.8061863968491437,"Engineers, All Other",154070,122930.0,-59740.0,-48.59676238509721
17-3011,53.85595574204619,1.197501656903471,Architectural and Civil Drafters,103700,66150.0,-2960.0,-4.474678760393046
17-3012,50.9911252583223,1.2718479632616442,Electrical and Electronics Drafters,17920,76870.0,-13680.0,-17.79627943280864
17-3013,52.69341975724877,1.2276710707550724,Mechanical Drafters,39960,71550.0,-8360.0,-11.684136967155835
17-3021,71.3621866062459,0.7431907961383719,Aerospace Engineering and Operations Technologists and Technicians,11280,82890.0,-19700.0,-23.766437447219207
17-3022,53.15121446162722,1.2157906661258158,Civil Engineering Technologists and Technicians,68520,64950.0,-1760.0,-2.70977675134719
17-3023,75.17183043843798,0.6443252789383758,Electrical and Electronic Engineering Technologists and Technicians,95130,78190.0,-15000.0,-19.184038879652128
17-3024,79.34877735269598,0.5359277396446757,Electro-Mechanical and Mechatronics Technologists and Technicians,15520,73900.0,-10710.0,-14.492557510148849
17-3025,68.26395072876556,0.8235942947138347,Environmental Engineering Technologists and Technicians,12190,59920.0,3270.0,5.457276368491322
17-3026,69.70230980401146,0.7862668908521281,Industrial Engineering Technologists and Technicians,75570,66120.0,-2930.0,-4.431336963097399
17-3027,76.9244522835133,0.5988423223151894,Mechanical Engineering Technologists and Technicians,36190,74510.0,-11320.0,-15.192591598443162
17-3029,78.11176964371388,0.5680297975576661,"Engineering Technologists and Technicians, Except Drafters, All Other",59930,78350.0,-15160.0,-19.349074664964903
17-3031,56.871653348608085,1.1192401404141525,Surveying and Mapping Technicians,58010,54240.0,8950.0,16.500737463126843
19-1011,57.65676125808885,1.0988655062101038,Animal Scientists,3100,68940.0,-5750.0,-8.340586016826226
19-1012,64.07260142363857,0.932365595935132,Food Scientists and Technologists,13060,88720.0,-25530.0,-28.775924256086565
19-1013,63.66785673862765,0.9428692793187124,Soil and Plant Scientists,15730,78850.0,-15660.0,-19.860494610019025
19-1021,64.36691490013203,0.9247277548785545,Biochemists and Biophysicists,33830,127410.0,-64220.0,-50.40420689113884
19-1022,63.40504776300082,0.9496895350813613,Microbiologists,18940,87990.0,-24800.0,-28.18502102511649
19-1023,61.23233543466626,1.0060744197397267,Zoologists and Wildlife Biologists,18120,76780.0,-13590.0,-17.69992185464965
19-1029,58.66012660503523,1.0728267901684188,"Biological Scientists, All Other",55850,98920.0,-35730.0,-36.120097048119696
19-1031,63.75288566464143,0.9406626612941406,Conservation Scientists,25950,73010.0,-9820.0,-13.450212299684974
19-1032,68.6348481557395,0.8139689944072631,Foresters,10430,76400.0,-13210.0,-17.290575916230367
19-1041,41.751643095707536,1.5116252817994338,Epidemiologists,12090,87220.0,-24030.0,-27.551020408163264
19-1042,52.9320743537675,1.2214776544788315,"Medical Scientists, Except Epidemiologists",172340,103410.0,-40220.0,-38.893724011217486
19-2011,50.12301768815941,1.2943765532532188,Astronomers,2120,128820.0,-65630.0,-50.94705791026238
19-2012,54.235465076941615,1.187652865696375,Physicists,20430,172250.0,-109060.0,-63.314949201741655
19-2021,44.758918524736835,1.4335823324450987,Atmospheric and Space Scientists,10000,99070.0,-35880.0,-36.216816392449786
19-2031,67.28753882283488,0.8489335317481078,Chemists,82770,91240.0,-28050.0,-30.743095133713283
19-2032,57.23867348719631,1.109715461094338,Materials Scientists,8470,117790.0,-54600.0,-46.35368027846167
19-2041,51.46735342416999,1.2594891848572478,"Environmental Scientists and Specialists, Including Health",89250,82220.0,-19030.0,-23.145220141084895
19-2042,59.646476138114664,1.0472296579893294,"Geoscientists, Except Hydrologists and Geographers",23470,101920.0,-38730.0,-38.00039246467818
19-2043,71.10337007571015,0.7499074424387693,Hydrologists,5850,96600.0,-33410.0,-34.58592132505176
19-2099,54.97131074479897,1.1685566546759776,"Physical Scientists, All Other",22300,122570.0,-59380.0,-48.44578608142286
19-3011,35.249028652702016,1.6803771043786029,Economists,17790,124720.0,-61530.0,-49.334509300833865
19-3022,39.75214734003774,1.5635149572470581,Survey Researchers,8290,69460.0,-6270.0,-9.026778001727614
19-3032,38.44725399593493,1.5973787411171962,Industrial-Organizational Psychologists,790,193950.0,-130760.0,-67.4194379994844
19-3033,35.52776340003402,1.6731435528524143,Clinical and Counseling Psychologists,75990,100580.0,-37390.0,-37.1743885464307
19-3034,34.94002262415704,1.6883962374460733,School Psychologists,63940,95990.0,-32800.0,-34.170226065215125
19-3039,46.51659358260586,1.3879682379732374,"Psychologists, All Other",18820,110840.0,-47650.0,-42.98989534464092
19-3041,35.978830758452816,1.6614377321388674,Sociologists,2260,106030.0,-42840.0,-40.40365934169574
19-3051,45.465516720364576,1.4152451337093515,Urban and Regional Planners,44230,89320.0,-26130.0,-29.25436632333184
19-3091,50.70140231483051,1.2793666736489457,Anthropologists and Archeologists,8990,70770.0,-7580.0,-10.710753143987565
19-3092,45.579957235405956,1.412275244342636,Geographers,1400,102040.0,-38850.0,-38.07330458643669
19-3093,37.71308989299986,1.6164313132062205,Historians,3450,76750.0,-13560.0,-17.667752442996743
19-3094,34.528352161639184,1.699079654317978,Political Scientists,5540,142080.0,-78890.0,-55.525056306306304
19-3099,46.5840015832935,1.3862189072890703,"Social Scientists and Related Workers, All Other",37100,101110.0,-37920.0,-37.503708831965184
19-4012,70.35121197406042,0.7694269836377111,Agricultural Technicians,15130,49630.0,13560.0,27.322184162804756
19-4013,55.14584979875039,1.1640271252499745,Food Science Technicians,14600,52130.0,11060.0,21.216190293497025
19-4021,55.724677430926164,1.1490057490412233,Biological Technicians,69620,57510.0,5680.0,9.876543209876543
19-4031,63.95783939854891,0.9353438289314907,Chemical Technicians,57540,60390.0,2800.0,4.6365292266931615
19-4042,68.07379570322205,0.8285290801627204,"Environmental Science and Protection Technicians, Including Health",34670,55090.0,8100.0,14.703212924305681
19-4043,61.286478835609046,1.0046693237326032,"Geological Technicians, Except Hydrologic Technicians",6980,53350.0,9840.0,18.444236176194938
19-4051,69.05132115472419,0.80316094508346,Nuclear Technicians,6470,110240.0,-47050.0,-42.67960812772134
19-4061,41.116551248170715,1.528106792077548,Social Science Research Assistants,30640,61990.0,1200.0,1.9357960961445395
19-4071,74.41373172798606,0.6639989871375889,Forest and Conservation Technicians,30410,54560.0,8630.0,15.817448680351907
19-4092,62.5400420363181,0.9721376279520896,Forensic Science Technicians,19120,72060.0,-8870.0,-12.309186788787121
19-4099,61.37056917803271,1.0024870632480434,"Life, Physical, and Social Science Technicians, All Other",73910,62280.0,910.0,1.4611432241490045
19-5011,66.72045835628195,0.8636500527903149,Occupational Health and Safety Specialists,140610,90150.0,-26960.0,-29.905712701053798
